ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
2,"Female",2015,"2015",1,"Full-time","411011","Firstline supervisors of retail sales workers",40393.52154816727,6044.399842716287,37567,4733.672214131581,354,"Georgia","04000US13"
2,"Female",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",37079.57251908397,6441.024419108949,6419,1965.2625904218216,47,"Georgia","04000US13"
2,"Female",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",46764.33238880843,1723.5930851574608,95286,7477.550505372936,989,"Georgia","04000US13"
2,"Female",2015,"2015",1,"Full-time","119XXX","Miscellaneous managers",74060.6713017435,5844.708177247069,46745,5273.535358716514,445,"Georgia","04000US13"
1,"Male",2015,"2015",1,"Full-time","119XXX","Miscellaneous managers",99035.52605716286,7750.192409550091,74279,6621.808768692429,740,"Georgia","04000US13"
1,"Male",2015,"2015",1,"Full-time","411011","Firstline supervisors of retail sales workers",53298.20452996592,4505.483003785471,49890,5445.635695652303,461,"Georgia","04000US13"
1,"Male",2015,"2015",1,"Full-time","412010","Cashiers",30472.001699596345,10672.023797062722,9414,2378.9909523368337,68,"Georgia","04000US13"
1,"Male",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",43970.45082395354,2279.3748472662087,97639,7566.769490117823,829,"Georgia","04000US13"
1,"Male",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",49138.916908442334,2838.8789986073416,21025,3549.521115217281,203,"Georgia","04000US13"
2,"Female",2015,"2015",1,"Full-time","412010","Cashiers",18791.703199918386,3181.1634262084335,29407,4192.929219429034,234,"Georgia","04000US13"
2,"Female",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",45395.69246573144,1368.3281060440286,93453,7402.886129964456,963,"Georgia","04000US13"
2,"Female",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",29237.723449517263,5528.744277845237,6111,1917.5445871917398,48,"Georgia","04000US13"
2,"Female",2014,"2014",1,"Full-time","412010","Cashiers",20864.51839474355,2309.8252528981175,35309,4589.664880934373,272,"Georgia","04000US13"
2,"Female",2014,"2014",1,"Full-time","411011","Firstline supervisors of retail sales workers",36573.42898497329,2873.178668506659,37999,4759.408884873369,332,"Georgia","04000US13"
1,"Male",2014,"2014",1,"Full-time","411011","Firstline supervisors of retail sales workers",63842.81870514944,6998.581649765694,50724,5488.597072410547,451,"Georgia","04000US13"
1,"Male",2014,"2014",1,"Full-time","119XXX","Miscellaneous managers",97615.60830387284,7550.621597160191,75242,6660.563653360626,754,"Georgia","04000US13"
1,"Male",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",41879.80332878308,2767.094686276523,79849,6856.7539062660635,729,"Georgia","04000US13"
1,"Male",2014,"2014",1,"Full-time","412010","Cashiers",23331.326394448894,6598.96700853693,7494,2123.0432950350823,57,"Georgia","04000US13"
1,"Male",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",47398.429070580016,3035.256848991382,17172,3209.2266615411772,196,"Georgia","04000US13"
2,"Female",2014,"2014",1,"Full-time","119XXX","Miscellaneous managers",66422.09720480861,5390.958002953507,40677,4922.329554169487,393,"Georgia","04000US13"
